tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
118+04216,I-35W,NORTHBOUND,CR-42/EXIT 1,MN,DAKOTA,55306,44.73991,-93.28293,44.74549,-93.2829,0.386427,115,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,52000,1116,6852,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04215,I-35W,NORTHBOUND,I-35E & I-35W JUNCTION (SOUTH),MN,DAKOTA,55306,44.73661,-93.2832,44.73991,-93.28293,0.228396,115.001,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,6,35,2,1,35,82518,1538,7101,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04216,I-35W,NORTHBOUND,CR-42/EXIT 1,MN,DAKOTA,55337,44.74549,-93.2829,44.74823,-93.28381,0.194686,116,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,57246,1245,6911,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04217,I-35W,NORTHBOUND,W BURNSVILLE PKWY/EXIT 2,MN,DAKOTA,55337,44.74823,-93.28381,44.76528,-93.28873,1.219842,117,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,82000,1851,7188,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04217,I-35W,NORTHBOUND,W BURNSVILLE PKWY/EXIT 2,MN,DAKOTA,55337,44.76528,-93.28873,44.76943,-93.28847,0.286970,118,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,82000,1851,7188,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04218,I-35W,NORTHBOUND,MN-13/EXIT 3,MN,DAKOTA,55337,44.76943,-93.28847,44.77189,-93.28836,0.170043,119,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,92000,2096,7300,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04218,I-35W,NORTHBOUND,MN-13/EXIT 3,MN,DAKOTA,55337,44.77189,-93.28836,44.77796,-93.28832,0.419419,120,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,92000,2096,7300,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04219,I-35W,NORTHBOUND,CLIFF RD/EXIT 4A,MN,DAKOTA,55337,44.77796,-93.28832,44.78252,-93.28836,0.315019,121,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,95000,2169,7334,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04219,I-35W,NORTHBOUND,CLIFF RD/EXIT 4A,MN,DAKOTA,55337,44.78252,-93.28836,44.78711,-93.28858,0.317267,122,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,113000,2610,7535,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04220,I-35W,NORTHBOUND,BLACK DOG RD/EXIT 4B,MN,DAKOTA,55337,44.78711,-93.28858,44.79368,-93.28883,0.454024,123,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,113000,2610,7535,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04220,I-35W,NORTHBOUND,BLACK DOG RD/EXIT 4B,MN,DAKOTA,55337,44.79368,-93.28883,44.79719,-93.28919,0.243340,124,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,113000,2610,7535,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04221,I-35W,NORTHBOUND,106TH ST/EXIT 5,MN,HENNEPIN,55420,44.79719,-93.28919,44.80926,-93.29133,0.840952,125,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,116781,2703,7577,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04221,I-35W,NORTHBOUND,106TH ST/EXIT 5,MN,HENNEPIN,55420,44.80926,-93.29133,44.81423,-93.29132,0.343329,126,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,107078,2465,7469,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04222,I-35W,NORTHBOUND,CR-1/98TH ST/EXIT 6,MN,HENNEPIN,55420,44.81423,-93.29132,44.82308,-93.29132,0.611363,127,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,105000,2414,7446,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04222,I-35W,NORTHBOUND,CR-1/98TH ST/EXIT 6,MN,HENNEPIN,55420,44.82308,-93.29132,44.8288,-93.29219,0.399340,128,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,105058,2415,7447,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04223,I-35W,NORTHBOUND,94TH ST/EXIT 7A,MN,HENNEPIN,55420,44.8288,-93.29219,44.83083,-93.29322,0.149127,129,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,106000,2439,7457,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04223,I-35W,NORTHBOUND,94TH ST/EXIT 7A,MN,HENNEPIN,55420,44.83083,-93.29322,44.83574,-93.29629,0.371032,130,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,107607,2478,7475,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04224,I-35W,NORTHBOUND,90TH ST/EXIT 7B,MN,HENNEPIN,55420,44.83574,-93.29629,44.8382,-93.2977,0.183607,131,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,115000,2659,7558,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04224,I-35W,NORTHBOUND,90TH ST/EXIT 7B,MN,HENNEPIN,55420,44.8382,-93.2977,44.84353,-93.29815,0.370738,132,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,115710,2676,7566,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04225,I-35W,NORTHBOUND,82ND ST/EXIT 8,MN,HENNEPIN,55420,44.84353,-93.29815,44.85316,-93.29804,0.665270,133,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,121000,2806,7625,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04225,I-35W,NORTHBOUND,82ND ST/EXIT 8,MN,HENNEPIN,55420,44.85316,-93.29804,44.85763,-93.29802,0.308791,134,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,120789,2801,7623,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04226,I-35W,NORTHBOUND,I-494/MN-5/EXIT 9,MN,HENNEPIN,55420,44.85763,-93.29802,44.85877,-93.29805,0.078767,135,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,6,35,2,1,35W,119000,2757,7603,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04226,I-35W,NORTHBOUND,I-494/MN-5/EXIT 9,MN,HENNEPIN,55423,44.85877,-93.29805,44.86518,-93.29875,0.444383,136,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,6,35,2,1,35W,113017,2380,5117,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04227,I-35W,NORTHBOUND,76TH ST/EXIT 9C,MN,HENNEPIN,55423,44.86518,-93.29875,44.86555,-93.29878,0.025616,137,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,106000,1937,2202,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04227,I-35W,NORTHBOUND,76TH ST/EXIT 9C,MN,HENNEPIN,55423,44.86555,-93.29878,44.86778,-93.29893,0.154242,138,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,106000,1937,2202,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04228,I-35W,NORTHBOUND,CR-53/66TH ST/EXIT 10A,MN,HENNEPIN,55423,44.86778,-93.29893,44.88022,-93.29634,0.875659,139,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,114177,2138,2294,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04228,I-35W,NORTHBOUND,CR-53/66TH ST/EXIT 10A,MN,HENNEPIN,55423,44.88022,-93.29634,44.88358,-93.29581,0.234508,140,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,93120,1622,2058,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04229,I-35W,NORTHBOUND,MN-62/CROSSTOWN HWY/EXIT 10B,MN,HENNEPIN,55423,44.88358,-93.29581,44.88383,-93.29583,0.017298,141,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,6,35,2,1,35W,88000,1496,2001,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
