tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary
118P15454,CR-36,EASTBOUND,US-212 (WEST),MN,CARVER,55322,44.76857,-93.79914,44.76798,-93.79869,0.047013,1,America/Chicago,P1.11,USA,1027,4,N,3,99999,2,,4,212,3,1,212,11744,293,938,1,100,0,100,1,1
118+15461,CR-36,EASTBOUND,US-10,MN,RAMSEY,55106,44.94589,-93.08523,44.94662,-93.04262,2.276741,9,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,16050,642,385,1,100,0,0,0,1
118P15460,CR-36,EASTBOUND,SIBLEY ST,MN,RAMSEY,55101,44.94576,-93.08556,44.94589,-93.08523,0.018466,9.5000000000000000,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,15117,605,363,1,100,0,100,0,1
118P15461,CR-36,EASTBOUND,US-10,MN,RAMSEY,55106,44.94662,-93.04262,44.94704,-93.04054,0.105824,10,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,17959,718,431,1,100,0,100,0,1
118N15461,CR-36,WESTBOUND,US-10,MN,RAMSEY,55106,44.94715,-93.0406,44.94685,-93.04195,0.069182,16,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,17959,718,431,1,100,0,100,0,1
118N15460,CR-36,WESTBOUND,SIBLEY ST,MN,RAMSEY,55101,44.94602,-93.08532,44.9459,-93.08564,0.017706,16.5000000000000000,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,15117,605,363,1,100,0,100,0,1
118-15460,CR-36,WESTBOUND,SIBLEY ST,MN,RAMSEY,55106,44.94685,-93.04195,44.94602,-93.08532,2.315428,17,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,16073,643,386,1,100,0,0,0,1
118N15454,CR-36,WESTBOUND,US-212 (WEST),MN,CARVER,55322,44.76798,-93.79869,44.76857,-93.79914,0.047013,25,America/Chicago,P1.11,USA,1027,4,N,3,99999,2,,4,212,3,1,212,11744,293,938,1,100,0,100,1,1
118-15654,CR-53,SOUTHBOUND,CR-12/109TH AVE NE/APOLLO DR,MN,ANOKA,55014,45.19611,-93.14258,45.17093,-93.14267,1.739721,1,America/Chicago,P1.11,USA,,,,,,,,,,,,,,,,,,,,,
118P15730,CR-63,NORTHBOUND,MN-55,MN,DAKOTA,55077,44.8385,-93.09925,44.83866,-93.09906,0.014449,11,America/Chicago,P1.11,USA,,,,,,,,,,,,,,,,,,,,,
118N15730,CR-63,SOUTHBOUND,MN-55,MN,DAKOTA,55077,44.83875,-93.09919,44.83861,-93.0994,0.014119,6,America/Chicago,P1.11,USA,,,,,,,,,,,,,,,,,,,,,
118+06114,I-35,NORTHBOUND,RICE/SCOTT COUNTY LINE,MN,RICE,55057,44.47527,-93.29187,44.54339,-93.30076,4.853048,1064,America/Chicago,P3.14,USA,157,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,97,1,97,1,1
118P06114,I-35,NORTHBOUND,RICE/SCOTT COUNTY LINE,MN,RICE,55088,44.54339,-93.30076,44.54399,-93.30058,0.042385,1064.5000000000000000,America/Chicago,P3.14,USA,157,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,100,1,100,1,1
118P04468,I-35,NORTHBOUND,SCOTT/RICE COUNTY LINE,MN,SCOTT,55020,44.54399,-93.30058,44.54475,-93.30032,0.054039,1064.5000000000000000,America/Chicago,P3.14,USA,101,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,100,1,100,1,1
118+04469,I-35,NORTHBOUND,CR-2/EXIT 76,MN,SCOTT,55020,44.54475,-93.30032,44.5695,-93.29829,1.718238,1065,America/Chicago,P1.3,USA,101,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,86,1,86,1,1
118P04469,I-35,NORTHBOUND,CR-2/EXIT 76,MN,SCOTT,55020,44.5695,-93.29829,44.57723,-93.29802,0.534328,1066,America/Chicago,P1.3,USA,101,1,N,1,99999,2,,4,35,2,1,35,38985,61,5380,1,53,1,53,1,1
118+04470,I-35,NORTHBOUND,CR-70/EXIT 81,MN,SCOTT,55044,44.57723,-93.29802,44.63999,-93.29685,4.363796,1067,America/Chicago,P1.3,USA,101,1,N,1,99999,2,,4,35,2,1,35,44994,355,5624,1,100,1,100,1,1
118P04470,I-35,NORTHBOUND,CR-70/EXIT 81,MN,DAKOTA,55044,44.63999,-93.29685,44.64944,-93.29518,0.657954,1068,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,46741,460,5695,1,66,1,66,1,1
